date,new_certifications,cumulative_total
2016-10-01,1,1
2016-10-04,1,2
2016-10-06,1,3
2016-10-08,6,9
2016-10-10,1,10
2016-10-12,1,11
2016-10-13,1,12
2016-10-16,2,14
2016-10-19,1,15
2016-10-20,1,16
2016-10-24,10,26
2016-10-28,1,27
2016-10-30,2,29
2016-10-31,30,59
2016-11-01,3,62
2016-11-02,1,63
2016-11-07,2,65
2016-11-08,2,67
2016-11-09,1,68
2016-11-10,1,69
2016-11-16,2,71
2016-11-19,1,72
2016-11-28,1,73
2016-12-07,3,76
2016-12-10,2,78
2016-12-15,1,79
2016-12-19,1,80
2016-12-21,1,81
2016-12-22,1,82
2016-12-27,1,83
2016-12-28,2,85
2017-01-07,1,86
2017-01-13,1,87
2017-01-17,1,88
2017-01-27,1,89
2017-02-06,1,90
2017-02-22,1,91
2017-03-13,1,92
2017-03-18,1,93
2017-04-07,1,94
2017-04-08,1,95
2017-06-27,1,96
2017-07-13,2,98
2017-07-14,1,99
2017-07-17,1,100
2017-07-23,1,101
2017-07-25,1,102
2017-08-03,1,103
2017-08-04,1,104
2017-08-06,1,105
2017-08-07,1,106
2017-08-15,1,107
2017-08-17,1,108
2017-08-21,1,109
2017-08-30,2,111
2017-09-01,1,112
2017-09-14,1,113
2017-09-15,3,116
2017-09-18,1,117
2017-09-26,1,118
2017-10-06,1,119
2017-10-12,1,120
2017-10-13,4,124
2017-10-17,1,125
2017-10-21,1,126
2017-11-18,1,127
2017-11-19,1,128
2017-11-23,1,129
2017-11-30,1,130
2017-12-12,1,131
2017-12-19,1,132
2018-01-03,1,133
2018-01-08,1,134
2018-01-10,1,135
2018-01-13,1,136
2018-01-16,1,137
2018-01-17,1,138
2018-01-21,1,139
2018-01-24,1,140
2018-01-25,11,151
2018-01-29,1,152
2018-01-30,1,153
2018-01-31,8,161
2018-02-03,1,162
2018-02-22,1,163
2018-03-06,2,165
2018-03-07,3,168
2018-03-08,1,169
2018-03-19,1,170
2018-03-25,2,172
2018-04-06,3,175
2018-04-15,1,176
2018-04-17,1,177
2018-04-30,2,179
2018-05-07,1,180
2018-05-10,1,181
2018-05-13,1,182
2018-05-14,1,183
2018-05-18,1,184
2018-05-27,1,185
2018-06-03,2,187
2018-06-13,1,188
2018-06-19,1,189
2018-06-20,2,191
2018-06-21,1,192
2018-06-30,1,193
2018-07-06,1,194
2018-07-09,2,196
2018-07-17,1,197
2018-07-26,2,199
2018-08-09,1,200
2018-08-13,1,201
2018-08-16,1,202
2018-08-17,1,203
2018-09-01,4,207
2018-09-02,1,208
2018-09-03,2,210
2018-09-11,3,213
2018-09-15,4,217
2018-09-17,2,219
2018-09-21,1,220
2018-09-22,1,221
2018-09-30,1,222
2018-10-07,1,223
2018-10-27,1,224
2018-11-01,5,229
2018-11-11,1,230
2018-11-18,2,232
2018-12-02,1,233
2018-12-27,1,234
2019-01-02,2,236
2019-01-12,2,238
2019-01-13,1,239
2019-01-31,1,240
