oshwaUid,country,projectName,primaryType,hardwareLicense,softwareLicense,documentationLicense,certificationDate,stars,forks,watchers,directoryUrl
SE000004,Sweden,"0.95"" OLED PMOD",Other,CERN,No software,CC BY-SA,2020-05-04T00:00-04:00,17,3,3,https://certification.oshwa.org/SE000004
DE000104,Germany,0xCB,Electronics,CERN,GPL,CC BY,2021-03-24T00:00-04:00,59,9,1,https://certification.oshwa.org/DE000104
DE000108,Germany,0xCB,Electronics,CERN,GPL,CC BY-SA,2021-04-16T00:00-04:00,59,9,1,https://certification.oshwa.org/DE000108
DE000112,Germany,0xCB 1337,Electronics,CERN,GPL,CC BY-SA,2021-05-27T00:00-04:00,59,9,1,https://certification.oshwa.org/DE000112
DE000121,Germany,0xCB 1337,Electronics,CERN-OHL-S-2.0,GPL,CC BY-SA,2022-01-09T00:00-05:00,59,9,1,https://certification.oshwa.org/DE000121
DE000113,Germany,0xCB 1337,Electronics,CERN,GPL,CC BY-SA,2021-05-27T00:00-04:00,59,9,1,https://certification.oshwa.org/DE000113
DE000136,Germany,0xCB 1337,Electronics,CERN-OHL-S-2.0,GPL-3.0-or-later,CC BY-SA,2023-05-25T00:00-04:00,59,9,1,https://certification.oshwa.org/DE000136
DE000147,Germany,0xCB Gemini,Electronics,CERN-OHL-S-2.0,GPL-3.0-or-later,CC-BY-SA-4.0,2024-09-13T00:00-04:00,11,1,0,https://certification.oshwa.org/DE000147
DE000131,Germany,0xCB Helios,Electronics,CERN-OHL-S-2.0,GPL-3.0-or-later,CC-BY-SA-4.0,2023-01-11T00:00-05:00,110,6,1,https://certification.oshwa.org/DE000131
DE000115,Germany,0xCB micro,Electronics,CERN,GPL,CC BY-SA,2021-06-30T00:00-04:00,5,1,1,https://certification.oshwa.org/DE000115
DE000122,Germany,0xCB Pluto,Electronics,CERN-OHL-S-2.0,GPL,CC BY-SA,2022-01-28T00:00-05:00,60,4,0,https://certification.oshwa.org/DE000122
DE000114,Germany,0xCB Static,Electronics,CERN,GPL,CC BY-SA,2021-06-17T00:00-04:00,66,13,2,https://certification.oshwa.org/DE000114
HR000033,Croatia,1-channel relay board,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,0,0,1,https://certification.oshwa.org/HR000033
HR000031,Croatia,1-channel relay board with easyC,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,0,0,1,https://certification.oshwa.org/HR000031
US000583,United States of America,12mm Coin Cell Breakout Board,Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/US000583
US000582,United States of America,12mm Coin Cell Breakout w/ On-Off Switch,Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/US000582
BE000012,Belgium,16Ch PWM Power,IOT,Other,No software,Other,2023-09-18T00:00-04:00,0,0,2,https://certification.oshwa.org/BE000012
HR000107,Croatia,1S Li-Ion battery protection,Electronics,TAPR,GPL,CC BY-SA,2023-06-28T00:00-04:00,4,0,1,https://certification.oshwa.org/HR000107
HR000032,Croatia,2-channel relay board,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,2,0,0,https://certification.oshwa.org/HR000032
US002444,United States of America,"2.2"" 18-bit color TFT LCD display with microSD card breakout",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,6,3,6,https://certification.oshwa.org/US002444
US000584,United States of America,20mm Coin Cell Breakout Board (CR2032),Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/US000584
US000585,United States of America,20mm Coin Cell Breakout w/On-Off Switch (CR2032),Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/US000585
US000625,United States of America,20x2 Character Display w/ HPDL1414 Module & ESP32,IOT,Other,MIT,CC BY-SA,2020-05-23T00:00-04:00,7,2,3,https://certification.oshwa.org/US000625
LK000015,Sri Lanka,24-Channel USB high voltage driver,Electronics,CERN-OHL-1.2,MIT,CC BY,2025-05-09T00:00-04:00,5,0,1,https://certification.oshwa.org/LK000015
HR000056,Croatia,3.5mm Jack breakout,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/HR000056
UK000034,United Kingdom,3340 Breakout,Sound,TAPR,No software,CC BY-SA,2021-10-14T00:00-04:00,7,0,1,https://certification.oshwa.org/UK000034
CZ000006,Czech Republic,3D printed Wind-Tunnel for Fire Engineering Applications,Science,Other,GPL,CC BY-SA,2021-12-22T00:00-05:00,4,1,1,https://certification.oshwa.org/CZ000006
IN000056,India,3rd Eye,Electronics,GPL-3.0-or-later,GPL-3.0-or-later,GPL-3.0-or-later,2024-08-15T00:00-04:00,1,0,1,https://certification.oshwa.org/IN000056
LK000005,Sri Lanka,4 Port High Power USB Hub,Electronics,Other,MIT,CC BY,2019-10-31T00:00-04:00,189,15,5,https://certification.oshwa.org/LK000005
US000575,United States of America,4-channel I2C-safe Bi-directional Logic Level Converter,Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,15,13,13,https://certification.oshwa.org/US000575
HR000106,Croatia,4-channel relay board,Electronics,TAPR,GPL,CC BY-SA,2023-06-28T00:00-04:00,3,1,1,https://certification.oshwa.org/HR000106
US000554,United States of America,40-pin TFT Friend - FPC Breakout with LED Backlight Driver,Electronics,Other,MIT,CC BY-SA,2020-05-08T00:00-04:00,12,3,10,https://certification.oshwa.org/US000554
FI000001,Finland,4chord MIDI Piano,Sound,CERN,GPL,CC BY,2020-06-19T00:00-04:00,36,1,4,https://certification.oshwa.org/FI000001
LK000010,Sri Lanka,5.1 Channel Audio Preamplifier,Sound,CERN-OHL-W-2.0,MIT,CC BY,2021-11-03T00:00-04:00,12,2,1,https://certification.oshwa.org/LK000010
US000596,United States of America,5050 LED breakout PCB - 10 pack!,Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/US000596
LK000013,Sri Lanka,6-Channel Stereo Speaker Selector,Sound,CERN-OHL-W-2.0,MIT,CC-BY-4.0,2023-01-11T00:00-05:00,7,2,1,https://certification.oshwa.org/LK000013
CA000036,Canada,6502 Single Board Computer,Electronics,TAPR,Apache,CC BY,2023-12-11T00:00-05:00,332,70,43,https://certification.oshwa.org/CA000036
CA000042,Canada,6502/65C02/6800/6809/Z80 Logic Analyzer,Electronics,TAPR,Apache,CC BY,2024-01-18T00:00-05:00,332,70,43,https://certification.oshwa.org/CA000042
CA000039,Canada,6800 Single Board Computer,Electronics,TAPR,Apache,CC BY,2023-12-21T00:00-05:00,29,12,5,https://certification.oshwa.org/CA000039
CA000037,Canada,6809 Single Board Computer,Electronics,TAPR,Apache,CC BY,2023-12-19T00:00-05:00,47,18,12,https://certification.oshwa.org/CA000037
US000574,United States of America,8-channel Bi-directional Logic Level Converter,Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,15,4,9,https://certification.oshwa.org/US000574
DE000098,Germany,8ch-level-shifter,Electronics,Other,No software,Other,2020-11-23T00:00-05:00,15,4,9,https://certification.oshwa.org/DE000098
HR000070,Croatia,8x8 LED matrix Blue MAX7219 board,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/HR000070
HR000066,Croatia,8x8 LED matrix Green MAX7219 board,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,1,0,1,https://certification.oshwa.org/HR000066
HR000069,Croatia,8x8 LED matrix Orange MAX7219 board,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/HR000069
HR000067,Croatia,8x8 LED matrix Purple MAX7219 board,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,1,0,1,https://certification.oshwa.org/HR000067
HR000068,Croatia,8x8 LED matrix White MAX7219 board,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/HR000068
ES000021,Spain,A parametric open source hardware geological simulator,Science,CERN,LGPL,CC BY,2021-06-07T00:00-04:00,3,4,0,https://certification.oshwa.org/ES000021
US000262,United States of America,A two channel MOSFET shield with trimpots for controlling valves and solenoids.,Science,CERN,MIT,CC BY-SA,2020-04-08T00:00-04:00,1,0,1,https://certification.oshwa.org/US000262
US002705,United States of America,Absolute Encoder Board,Electronics,CERN-OHL-P-2.0,MIT,CC-BY-4.0,2024-12-13T00:00-05:00,0,0,1,https://certification.oshwa.org/US002705
US002672,United States of America,AC Infinity ESP32 Custom PCB,IOT,CC-BY-SA-4.0,No software,CC-BY-SA-4.0,2024-08-29T00:00-04:00,5,0,3,https://certification.oshwa.org/US002672
US000173,United States of America,Acrylic Case for GreatFET One,Enclosure,Other,No software,Other,2019-10-31T00:00-04:00,91,19,6,https://certification.oshwa.org/US000173
US002052,United States of America,Acrylic Case for HackRF One,Enclosure,Other,No software,Other,2021-09-09T00:00-04:00,7694,1663,549,https://certification.oshwa.org/US002052
US002441,United States of America,Adafruit 10-DOF IMU Breakout - L3GD20H + LSM303 + BMP180,Electronics,Other,MIT,CC BY-SA,2023-09-05T00:00-04:00,6,4,10,https://certification.oshwa.org/US002441
US002596,United States of America,Adafruit 12V Bias Voltage Boost Converter - TPS61040,Electronics,Other,MIT,CC BY-SA,2024-01-18T00:00-05:00,2,2,9,https://certification.oshwa.org/US002596
US002474,United States of America,Adafruit 16-Channel 12-bit PWM/Servo Shield - I2C interface,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,12,3,5,https://certification.oshwa.org/US002474
US002482,United States of America,Adafruit 16-Channel PWM / Servo Bonnet for Raspberry Pi,Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,15,4,10,https://certification.oshwa.org/US002482
US002452,United States of America,Adafruit 16x8 LED Matrix Backpack,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,29,10,3,https://certification.oshwa.org/US002452
US002476,United States of America,"Adafruit 2.23"" Monochrome OLED Bonnet for Raspberry Pi",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,1,0,10,https://certification.oshwa.org/US002476
US002043,United States of America,Adafruit 24LC32 I2C EEPROM Breakout - 32Kbit / 4 KB - Stemma QT,Electronics,Other,MIT,CC BY-SA,2021-08-19T00:00-04:00,1,0,10,https://certification.oshwa.org/US002043
US002458,United States of America,Adafruit 9-DOF Accel/Mag/Gyro+Temp Breakout Board - LSM9DS0,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,3,0,10,https://certification.oshwa.org/US002458
