oshwaUid,country,projectName,responsibleParty,primaryType,hardwareLicense,softwareLicense,documentationLicense,certificationDate,stars,forks,watchers,directoryUrl
SE000004,Sweden,"0.95"" OLED PMOD",arturo182,Other,CERN,No software,CC BY-SA,2020-05-04T00:00-04:00,17,3,3,https://certification.oshwa.org/se000004.html
DE000104,Germany,0xCB,Conor Burns,Electronics,CERN,GPL,CC BY,2021-03-24T00:00-04:00,59,9,1,https://certification.oshwa.org/de000104.html
DE000108,Germany,0xCB,Conor Burns,Electronics,CERN,GPL,CC BY-SA,2021-04-16T00:00-04:00,59,9,1,https://certification.oshwa.org/de000108.html
DE000112,Germany,0xCB 1337,Conor Burns,Electronics,CERN,GPL,CC BY-SA,2021-05-27T00:00-04:00,59,9,1,https://certification.oshwa.org/de000112.html
DE000121,Germany,0xCB 1337,Conor Burns,Electronics,CERN-OHL-S-2.0,GPL,CC BY-SA,2022-01-09T00:00-05:00,59,9,1,https://certification.oshwa.org/de000121.html
DE000113,Germany,0xCB 1337,Conor Burns,Electronics,CERN,GPL,CC BY-SA,2021-05-27T00:00-04:00,59,9,1,https://certification.oshwa.org/de000113.html
DE000136,Germany,0xCB 1337,Conor Burns,Electronics,CERN-OHL-S-2.0,GPL-3.0-or-later,CC BY-SA,2023-05-25T00:00-04:00,59,9,1,https://certification.oshwa.org/de000136.html
DE000147,Germany,0xCB Gemini,Conor Burns,Electronics,CERN-OHL-S-2.0,GPL-3.0-or-later,CC-BY-SA-4.0,2024-09-13T00:00-04:00,11,1,0,https://certification.oshwa.org/de000147.html
DE000131,Germany,0xCB Helios,Conor Burns,Electronics,CERN-OHL-S-2.0,GPL-3.0-or-later,CC-BY-SA-4.0,2023-01-11T00:00-05:00,110,6,1,https://certification.oshwa.org/de000131.html
DE000115,Germany,0xCB micro,Conor Burns,Electronics,CERN,GPL,CC BY-SA,2021-06-30T00:00-04:00,5,1,1,https://certification.oshwa.org/de000115.html
DE000122,Germany,0xCB Pluto,Conor Burns,Electronics,CERN-OHL-S-2.0,GPL,CC BY-SA,2022-01-28T00:00-05:00,60,4,0,https://certification.oshwa.org/de000122.html
DE000114,Germany,0xCB Static,Conor Burns,Electronics,CERN,GPL,CC BY-SA,2021-06-17T00:00-04:00,66,13,2,https://certification.oshwa.org/de000114.html
HR000033,Croatia,1-channel relay board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,0,0,1,https://certification.oshwa.org/hr000033.html
HR000031,Croatia,1-channel relay board with easyC,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,0,0,1,https://certification.oshwa.org/hr000031.html
US000583,United States of America,12mm Coin Cell Breakout Board,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/us000583.html
US000582,United States of America,12mm Coin Cell Breakout w/ On-Off Switch,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/us000582.html
BE000012,Belgium,16Ch PWM Power,PHYX,IOT,Other,No software,Other,2023-09-18T00:00-04:00,0,0,2,https://certification.oshwa.org/be000012.html
HR000107,Croatia,1S Li-Ion battery protection,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,GPL,CC BY-SA,2023-06-28T00:00-04:00,4,0,1,https://certification.oshwa.org/hr000107.html
HR000032,Croatia,2-channel relay board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,2,0,0,https://certification.oshwa.org/hr000032.html
US002444,United States of America,"2.2"" 18-bit color TFT LCD display with microSD card breakout","Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,6,3,6,https://certification.oshwa.org/us002444.html
US000584,United States of America,20mm Coin Cell Breakout Board (CR2032),"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/us000584.html
US000585,United States of America,20mm Coin Cell Breakout w/On-Off Switch (CR2032),"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/us000585.html
US000625,United States of America,20x2 Character Display w/ HPDL1414 Module & ESP32,SQFMI,IOT,Other,MIT,CC BY-SA,2020-05-23T00:00-04:00,7,2,3,https://certification.oshwa.org/us000625.html
LK000015,Sri Lanka,24-Channel USB high voltage driver,Dilshan R Jayakody,Electronics,CERN-OHL-1.2,MIT,CC BY,2025-05-09T00:00-04:00,5,0,1,https://certification.oshwa.org/lk000015.html
HR000056,Croatia,3.5mm Jack breakout,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000056.html
UK000034,United Kingdom,3340 Breakout,Archie Campbell,Sound,TAPR,No software,CC BY-SA,2021-10-14T00:00-04:00,7,0,1,https://certification.oshwa.org/uk000034.html
CZ000006,Czech Republic,3D printed Wind-Tunnel for Fire Engineering Applications,"Výzkumný ústav bezpečnosti práce, v. v. i.",Science,Other,GPL,CC BY-SA,2021-12-22T00:00-05:00,4,1,1,https://certification.oshwa.org/cz000006.html
IN000056,India,3rd Eye,Paarth Bansal,Electronics,GPL-3.0-or-later,GPL-3.0-or-later,GPL-3.0-or-later,2024-08-15T00:00-04:00,1,0,1,https://certification.oshwa.org/in000056.html
LK000005,Sri Lanka,4 Port High Power USB Hub,Dilshan R Jayakody,Electronics,Other,MIT,CC BY,2019-10-31T00:00-04:00,189,15,5,https://certification.oshwa.org/lk000005.html
US000575,United States of America,4-channel I2C-safe Bi-directional Logic Level Converter,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,15,13,13,https://certification.oshwa.org/us000575.html
HR000106,Croatia,4-channel relay board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,GPL,CC BY-SA,2023-06-28T00:00-04:00,3,1,1,https://certification.oshwa.org/hr000106.html
US000554,United States of America,40-pin TFT Friend - FPC Breakout with LED Backlight Driver,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-08T00:00-04:00,12,3,10,https://certification.oshwa.org/us000554.html
FI000001,Finland,4chord MIDI Piano,Sven Gregori,Sound,CERN,GPL,CC BY,2020-06-19T00:00-04:00,36,1,4,https://certification.oshwa.org/fi000001.html
LK000010,Sri Lanka,5.1 Channel Audio Preamplifier,Dilshan R Jayakody,Sound,CERN-OHL-W-2.0,MIT,CC BY,2021-11-03T00:00-04:00,12,2,1,https://certification.oshwa.org/lk000010.html
US000596,United States of America,5050 LED breakout PCB - 10 pack!,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/us000596.html
LK000013,Sri Lanka,6-Channel Stereo Speaker Selector,Dilshan R Jayakody,Sound,CERN-OHL-W-2.0,MIT,CC-BY-4.0,2023-01-11T00:00-05:00,7,2,1,https://certification.oshwa.org/lk000013.html
CA000036,Canada,6502 Single Board Computer,Jeff Tranter,Electronics,TAPR,Apache,CC BY,2023-12-11T00:00-05:00,332,70,43,https://certification.oshwa.org/ca000036.html
CA000042,Canada,6502/65C02/6800/6809/Z80 Logic Analyzer,Jeff Tranter,Electronics,TAPR,Apache,CC BY,2024-01-18T00:00-05:00,332,70,43,https://certification.oshwa.org/ca000042.html
CA000039,Canada,6800 Single Board Computer,Jeff Tranter,Electronics,TAPR,Apache,CC BY,2023-12-21T00:00-05:00,29,12,5,https://certification.oshwa.org/ca000039.html
CA000037,Canada,6809 Single Board Computer,Jeff,Electronics,TAPR,Apache,CC BY,2023-12-19T00:00-05:00,47,18,12,https://certification.oshwa.org/ca000037.html
US000574,United States of America,8-channel Bi-directional Logic Level Converter,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,15,4,9,https://certification.oshwa.org/us000574.html
DE000098,Germany,8ch-level-shifter,Thore Krug,Electronics,Other,No software,Other,2020-11-23T00:00-05:00,15,4,9,https://certification.oshwa.org/de000098.html
HR000070,Croatia,8x8 LED matrix Blue MAX7219 board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000070.html
HR000066,Croatia,8x8 LED matrix Green MAX7219 board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,1,0,1,https://certification.oshwa.org/hr000066.html
HR000069,Croatia,8x8 LED matrix Orange MAX7219 board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000069.html
HR000067,Croatia,8x8 LED matrix Purple MAX7219 board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,1,0,1,https://certification.oshwa.org/hr000067.html
HR000068,Croatia,8x8 LED matrix White MAX7219 board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000068.html
ES000021,Spain,A parametric open source hardware geological simulator,Universidad Rey Juan Carlos,Science,CERN,LGPL,CC BY,2021-06-07T00:00-04:00,3,4,0,https://certification.oshwa.org/es000021.html
US000262,United States of America,A two channel MOSFET shield with trimpots for controlling valves and solenoids.,SparkFun Electronics,Science,CERN,MIT,CC BY-SA,2020-04-08T00:00-04:00,1,0,1,https://certification.oshwa.org/us000262.html
US002705,United States of America,Absolute Encoder Board,Flywheel Lab,Electronics,CERN-OHL-P-2.0,MIT,CC-BY-4.0,2024-12-13T00:00-05:00,0,0,1,https://certification.oshwa.org/us002705.html
US002672,United States of America,AC Infinity ESP32 Custom PCB,Luis Rodriguez,IOT,CC-BY-SA-4.0,No software,CC-BY-SA-4.0,2024-08-29T00:00-04:00,5,0,3,https://certification.oshwa.org/us002672.html
US000173,United States of America,Acrylic Case for GreatFET One,Great Scott Gadgets,Enclosure,Other,No software,Other,2019-10-31T00:00-04:00,91,19,6,https://certification.oshwa.org/us000173.html
US002052,United States of America,Acrylic Case for HackRF One,GREAT SCOTT GADGETS,Enclosure,Other,No software,Other,2021-09-09T00:00-04:00,7699,1664,550,https://certification.oshwa.org/us002052.html
US002441,United States of America,Adafruit 10-DOF IMU Breakout - L3GD20H + LSM303 + BMP180,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-05T00:00-04:00,6,4,10,https://certification.oshwa.org/us002441.html
US002596,United States of America,Adafruit 12V Bias Voltage Boost Converter - TPS61040,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2024-01-18T00:00-05:00,2,2,9,https://certification.oshwa.org/us002596.html
US002474,United States of America,Adafruit 16-Channel 12-bit PWM/Servo Shield - I2C interface,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,12,3,5,https://certification.oshwa.org/us002474.html
US002482,United States of America,Adafruit 16-Channel PWM / Servo Bonnet for Raspberry Pi,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,15,4,10,https://certification.oshwa.org/us002482.html
US002452,United States of America,Adafruit 16x8 LED Matrix Backpack,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,29,10,3,https://certification.oshwa.org/us002452.html
US002476,United States of America,"Adafruit 2.23"" Monochrome OLED Bonnet for Raspberry Pi","Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,1,0,10,https://certification.oshwa.org/us002476.html
US002043,United States of America,Adafruit 24LC32 I2C EEPROM Breakout - 32Kbit / 4 KB - Stemma QT,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2021-08-19T00:00-04:00,1,0,10,https://certification.oshwa.org/us002043.html
US002458,United States of America,Adafruit 9-DOF Accel/Mag/Gyro+Temp Breakout Board - LSM9DS0,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,3,0,10,https://certification.oshwa.org/us002458.html
US002463,United States of America,Adafruit 9-DOF IMU Breakout - L3GD20H + LSM303,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,6,4,10,https://certification.oshwa.org/us002463.html
US002523,United States of America,Adafruit AHT20 - Temperature & Humidity Sensor Breakout Board,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,2,3,10,https://certification.oshwa.org/us002523.html
