projectName,oshwaUid,hardwareLicense,softwareLicense,documentationLicense,status,notes
"0.95"" OLED PMOD",SE000004,CERN,No software,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
0xCB,DE000104,CERN,GPL,CC BY,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
0xCB,DE000108,CERN,GPL,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
0xCB 1337,DE000112,CERN,GPL,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
0xCB 1337,DE000121,CERN-OHL-S-2.0,GPL,CC BY-SA,compatible,No compatibility issues detected
0xCB 1337,DE000113,CERN,GPL,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
0xCB 1337,DE000136,CERN-OHL-S-2.0,GPL-3.0-or-later,CC BY-SA,compatible,No compatibility issues detected
0xCB Gemini,DE000147,CERN-OHL-S-2.0,GPL-3.0-or-later,CC-BY-SA-4.0,compatible,No compatibility issues detected
0xCB Helios,DE000131,CERN-OHL-S-2.0,GPL-3.0-or-later,CC-BY-SA-4.0,compatible,No compatibility issues detected
0xCB micro,DE000115,CERN,GPL,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
0xCB Pluto,DE000122,CERN-OHL-S-2.0,GPL,CC BY-SA,compatible,No compatibility issues detected
0xCB Static,DE000114,CERN,GPL,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
1-channel relay board,HR000033,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
1-channel relay board with easyC,HR000031,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
12mm Coin Cell Breakout Board,US000583,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
12mm Coin Cell Breakout w/ On-Off Switch,US000582,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
16Ch PWM Power,BE000012,Other,No software,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
1S Li-Ion battery protection,HR000107,TAPR,GPL,CC BY-SA,compatible,No compatibility issues detected
2-channel relay board,HR000032,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
"2.2"" 18-bit color TFT LCD display with microSD card breakout",US002444,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
20mm Coin Cell Breakout Board (CR2032),US000584,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
20mm Coin Cell Breakout w/On-Off Switch (CR2032),US000585,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
20x2 Character Display w/ HPDL1414 Module & ESP32,US000625,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
24-Channel USB high voltage driver,LK000015,CERN-OHL-1.2,MIT,CC BY,compatible,Legacy hardware license (CERN-OHL-1.2) - consider updating to CERN-OHL-2.0 family
3.5mm Jack breakout,HR000056,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
3340 Breakout,UK000034,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
3D printed Wind-Tunnel for Fire Engineering Applications,CZ000006,Other,GPL,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
3rd Eye,IN000056,GPL-3.0-or-later,GPL-3.0-or-later,GPL-3.0-or-later,compatible,No compatibility issues detected
4 Port High Power USB Hub,LK000005,Other,MIT,CC BY,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
4-channel I2C-safe Bi-directional Logic Level Converter,US000575,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
4-channel relay board,HR000106,TAPR,GPL,CC BY-SA,compatible,No compatibility issues detected
40-pin TFT Friend - FPC Breakout with LED Backlight Driver,US000554,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
4chord MIDI Piano,FI000001,CERN,GPL,CC BY,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
5.1 Channel Audio Preamplifier,LK000010,CERN-OHL-W-2.0,MIT,CC BY,compatible,No compatibility issues detected
5050 LED breakout PCB - 10 pack!,US000596,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
